ID_bold,ZOTU,Phylum_bold,Class_bold,Order_bold,Family_bold,Genus_bold,Species_bold,Notes
Psocodea,Zotu738,Arthropoda,Insecta,Psocodea,,,,
Psocodea,Zotu1208,Arthropoda,Insecta,Psocodea,,,,
Pycnoscelus sp. B103,Zotu106,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,,
Pycnoscelus surinamensis,Zotu84,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,
Pycnoscelus surinamensis,Zotu165,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,
Pycnoscelus surinamensis,Zotu872,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,
Rhodotorula taiwanensis RS1,Zotu544,,,,,,,non-diet
Rickettsiales,Zotu43,,,,,,,non-diet
Rickettsiales,Zotu47,,,,,,,non-diet
Saccharomyces cerevisiae YJM1527,Zotu595,,,,,,,non-diet
Salmo salar,Zotu1162,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo salar,
Scholastes lonchifer,Zotu29,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,
Scytodes longipes,Zotu210,Arthropoda,Arachnida,Araneae,Scytodidae,Scytodes,Scytodes longipes,
Scytodes longipes,Zotu800,Arthropoda,Arachnida,Araneae,Scytodidae,Scytodes,Scytodes longipes,
Selenothrips rubrocinctus,Zotu274,Arthropoda,Insecta,Thysanoptera,Thripidae,Selenothrips,Selenothrips rubrocinctus,
Siphunculina striolata,Zotu199,Arthropoda,Insecta,Diptera,Chloropidae,Siphunculina,Siphunculina striolata,
Smeringopus pallidus,Zotu12,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,
Smeringopus pallidus,Zotu1021,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,
Smeringopus pallidus,Zotu1080,Arthropoda,Arachnida,Araneae,Pholcidae,Smeringopus,Smeringopus pallidus,
Styringomyia didyma,Zotu680,Arthropoda,Insecta,Diptera,Limoniidae,Styringomyia,Styringomyia didyma,
Sula sula,Zotu371,Chordata,Aves,Suliformes,Sulidae,Sula,Sula sula,
Sus scrofa,Zotu891,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,
Symphypleona,Zotu147,Arthropoda,Entognatha,Symphypleona,,,,
Theridion melanostictum,Zotu13,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion melanostictum,
Tyrophagus putrescentiae,Zotu715,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,Tyrophagus,Tyrophagus putrescentiae,
Wolbachia endosymbiont,Zotu72,,,,,,,non-diet
Wolbachia endosymbiont,Zotu103,,,,,,,non-diet
Wolbachia endosymbiont of Formicidae,Zotu419,,,,,,,non-diet
