"","Order","Family","Genus","Species","Length_mm","Mass_mg","Source","Class","Species_Name","Phylum.x","Class.x","Order.x","Family.x","Genus.x","specific_epithet.x","Phylum.y","Class.y","Order.y","Family.y","Genus.y","specific_epithet.y"
"110","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",6.7,30,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.4,30,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.8,30,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",8.1,30,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.2,30,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",8.5,30,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.1,33.14,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9.8,33.82,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.5,34.01,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9.8,34.67,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9,37.32,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9.5,37.71,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.3,38.27,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9.9,38.8,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",8.6,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",8,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9.3,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",8.7,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9.4,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9.9,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.4,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.4,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.75,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",8.41,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",11.71,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.72,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.63,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",9.44,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.13,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.49,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.34,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",11.87,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10.21,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",11.19,40,"Ana_UG","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
